Advertiser,party,link if needed
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,R,
ONE NATION,R,
"PLANNED PARENTHOOD FEDERATION OF AMERICA, INC.",D,
RICK SCOTT FOR FLORIDA,R,
HOUSE MAJORITY PAC,R,
BETO FOR TEXAS,D,
PRIORITIES USA ACTION & SMP,D,
NRCC,R,
AMERICAN ACTION NETWORK INC,R,
DIANE BLACK FOR GOVERNOR,R,
O'CONNOR FOR CONGRESS,D,
TENNESSEE JOBS NOW,R,
BILL NELSON FOR U S SENATE,D,
AMERICANS FOR PROSPERITY,R,
NRSC,R,
JEFF GREENE FOR GOVERNOR,D,
SENATE LEADERSHIP FUND,R,
BREDESEN FOR SENATE,D,
PENSLER FOR SENATE,R,
PATIENTS FOR AFFORDABLE DRUGS ACTION,D,
Friends of Ron DeSantis,R,
"WITH HONOR FUND, INC.",I,https://www.opensecrets.org/pacs/indexpend.php?cycle=2018&cmte=C00659011
RESTORATION PAC,R,
JOSH HAWLEY FOR SENATE,R,
STABENOW FOR US SENATE,D,
JOHN JAMES FOR SENATE INC,R,
ROSEN FOR NEVADA,D,
TAMMY BALDWIN FOR SENATE,D,
SMP,D,
"Salem Web Network, LLC",R,
SINEMA FOR ARIZONA,D,
MCCASKILL FOR MISSOURI,D,
CONGRESSIONAL LEADERSHIP FUND,R,
"AMERICAN CIVIL LIBERTIES UNION, INC",D,
LENA FOR CONGRESS,R,
RANDY BRYCE FOR CONGRESS,D,
LISA BROWN FOR CONGRESS,D,
EVERYTOWN FOR GUN SAFETY ACTION FUND,D,
MARSHA FOR SENATE,R,
MARTHA ROBY FOR CONGRESS,R,
GREG STEUBE CONGRESSIONAL COMMITTEE,R,
Randy Boyd for Governor,R,
CARPER FOR SENATE,D,
CFG ACTION WISCONSIN,R,
PLANNED PARENTHOOD ACTION FUND INC,D,
HEIDI FOR SENATE,D,
"NATURAL RESOURCES DEFENSE COUNCIL, INC.",D,
CLEARPATH ACTION INC,R,
JOHN KINGSTON FOR SENATE INC,R,
STIVERS FOR CONGRESS,R,
ROSKAM FOR CONGRESS COMMITTEE,R,
ROMNEY FOR UTAH INC,R,
BRIAN FITZPATRICK FOR CONGRESS,R,
DEFENDARIZONA,R,
ELIZABETH FOR MA INC,D,
"ANDREW CUOMO 2018, INC.",D,
FRIENDS OF LUCY MCBATH INC.,D,
REPUBLICAN NATIONAL COMMITTEE,R,
PROTECT FREEDOM POLITICAL ACTION COMMITTEE INC,R,
MONTANANS FOR TESTER,D,
HELLER FOR SENATE,R,
TINA SMITH FOR MINNESOTA,D,
END CITIZENS UNITED,D,
PRIORITIES USA ACTION,D,
"AMERICA FIRST ACTION, INC.",R,
"DAVID TRONE FOR CONGRESS, INC",D,
PRIORITIES USA ACTION & HOUSE MAJORITY PAC,D,
EQUALITY PAC,D,
MAST FOR CONGRESS,R,
JOHN ROSE FOR TENNESSEE,R,
BOB HUGIN FOR SENATE INC,R,
CATHY FOR CONGRESS,D,
TED CRUZ FOR SENATE,R,
BOB CASEY FOR SENATE INC,D,
CATHY MCMORRIS RODGERS FOR CONGRESS,R,
DEAN PHILLIPS FOR CONGRESS,D,
INTEGRITY NJ,R,
HOUSLEY FOR SENATE COMMITTEE,R,
Need to Impeach,D,
PETE STAUBER FOR CONGRESS VOLUNTEER COMMITTEE,R,
GREG FOR MONTANA,R,
TIFFANY SHEDD FOR CONGRESS COMMITTEE,R,
DONNA SHALALA FOR CONGRESS,D,
FRIENDS OF SHERROD BROWN,D,
DONNELLY FOR INDIANA,D,
"JASON LEWIS FOR CONGRESS, INC.",R,
COMSTOCK FOR CONGRESS,R,
COMMITTEE TO ELECT STEVE WATKINS,R,
FRIENDS OF JOHN BARRASSO,R,
WICKER FOR SENATE,R,
CLUB FOR GROWTH ACTION,R,
FreedomWorks Inc,R,
GILLIBRAND FOR SENATE,D,
CINDY HYDE-SMITH FOR US SENATE,R,
DCCC,D,
MCSALLY FOR SENATE INC,R,
VAL DEMINGS FOR CONGRESS,D,
DINO FOR CONGRESS,D,
ANN WAGNER FOR CONGRESS,R,
POLIS FOR COLORADO,D,
MATT HAGGMAN FOR CONGRESS,D,
FRIENDS OF HAGEDORN,R,
HARLEY ROUDA FOR CONGRESS,D,
"STEIL FOR WISCONSIN, INC.",R,
MARTIN HEINRICH FOR SENATE,D,
KEN HARBAUGH FOR CONGRESS,D,
"WINNING FOR WOMEN, INC. PAC",R,
HERN FOR CONGRESS,R,
JOSH GOTTHEIMER FOR CONGRESS,D,
SCOTT WALLACE FOR CONGRESS,D,
"FREEDOM PARTNERS ACTION FUND, INC.",R,
KIND FOR CONGRESS COMMITTEE,D,
LOU BARLETTA FOR SENATE,R,
PERRY GERSHON FOR CONGRESS,D,
ANGIE CRAIG FOR CONGRESS,D,
DODSON FOR SENATE-WYOMING FIRST INC,R,
GREAT AMERICA PAC,R,
JASON CROW FOR CONGRESS,D,
LCV VICTORY FUND,D,
OHIO DEMOCRATIC PARTY,D,
CONSERVATIVE TRIUMPH FUND,R,
"Data Targeting, Inc.",R,
TULSI FOR HAWAI'I,D,
SIXTEEN THIRTY FUND,D,
"FRIENDS OF DENVER RIGGLEMAN, INC.",R,
DR KIM SCHRIER FOR CONGRESS,D,
INDIANA DEMOCRATIC PARTY,D,
FRIENDS OF GEORGE FLINN,R,
ILLINOIS REPUBLICAN PARTY,R,
MORRISEY FOR SENATE INC,R,
SUSIE LEE FOR CONGRESS,D,
"ANDY BARR FOR CONGRESS, INC.",R,
EWERT FOR CONGRESS,D,
MCCREADY FOR CONGRESS,D,
CARYN FOR CONGRESS INC,R,
LEAH FOR SENATE,D,
MOULTON FOR CONGRESS,D,
WOMEN VOTE!,D,
BRINDISI FOR CONGRESS,D,
JAIME FOR CONGRESS,R,
LEA MARQUEZ PETERSON FOR CONGRESS,R,
CARLOS CURBELO CONGRESS,R,
DENHAM FOR CONGRESS,R,
HARRY FOR CT INC.,R,
KUSTOFF FOR CONGRESS,R,
COMMITTEE TO ELECT MORGAN FOR MICHIGAN,D,
FINKENAUER FOR CONGRESS,D,
NARAL PRO-CHOICE AMERICA,D,
CARLA NELSON FOR CONGRESS,R,
DIEHL FOR US SENATE,R,
HUDSON FOR CONGRESS,R,
VERN BUCHANAN FOR CONGRESS,R,
ARIZONANS FOR LIFE,R,
DAN NEWHOUSE FOR CONGRESS,R,
DUFFY FOR WISCONSIN,R,
FRIENDS OF SUSAN HUTCHISON,R,
Hurd for Congress,R,
KLOBUCHAR FOR MINNESOTA,D,
Matt Rosendale for Montana,R,
MIKE BOST FOR CONGRESS COMMITTEE,R,
THE COMMITTEE TO ELECT AYANNA PRESSLEY,D,
AFTAB FOR OHIO,D,
GINA ORTIZ JONES FOR CONGRESS,D,
NEXTGEN CLIMATE ACTION COMMITTEE,D,
"Semcasting, INC.",NA,
WALDEN FOR CONGRESS,R,
FASO FOR CONGRESS,R,
FRIENDS OF JAHANA HAYES,D,
HEWITT CAMPAIGNS INC,D,
TOM MACARTHUR FOR CONGRESS INC.,D,
ANDY KIM FOR CONGRESS,D,
GUPTA FOR CONGRESS,D,
ROB WITTMAN FOR CONGRESS,R,
DELBENE FOR CONGRESS,D,
FRIENDS OF MARIA,D,
KANEW FOR CONGRESS,D,
REPUBLICAN MAJORITY FUND,R,
FRENCH HILL FOR ARKANSAS,R,
FRIENDS OF CHRIS MURPHY,D,
KIRKPATRICK FOR CONGRESS,D,
MICK RICH FOR US SENATE,R,
MJ FOR TEXAS,D,
RADINOVICH FOR CONGRESS,D,
"TBP Productions, LLP",D,
VIRGINIA FOXX FOR CONGRESS,R,
KAINE FOR VIRGINIA,D,
KEN CALVERT FOR CONGRESS COMMITTEE,R,
MARGARET FOR CONGRESS,D,
THE COMMITTEE TO DEFEND THE PRESIDENT,R,
ABDUL EL-SAYED FOR MICHIGAN,D,
FLORIDA GROWN PAC,R,
MAX ROSE FOR CONGRESS,D,
"DONALD J. TRUMP FOR PRESIDENT, INC.",R,
IAN TODD FOR CONGRESS,D,
JOE CUNNINGHAM FOR CONGRESS,D,
ANDREW LEARNED FOR CONGRESS,D,
CLAUDIA TENNEY FOR CONGRESS,R,
ELISSA SLOTKIN FOR CONGRESS,D,
MEDIA MATTERS FOR AMERICA,D,
CRAMER FOR SENATE,R,
Galeotos for Governor Inc.,R,
LAUREN UNDERWOOD FOR CONGRESS,D,
RENACCI FOR SENATE,R,
STEWART FOR SENATE INC,R,
WINNING FOR WOMEN INC.,R,
HUIZENGA FOR CONGRESS,R,
JASON RITTEREISER FOR CONGRESS,D,
KATIE ARRINGTON FOR CONGRESS,R,
"KEVIN ABEL FOR CONGRESS, INC.",D,
MCKINLEY FOR CONGRESS,R,
Resonate Networks Inc,NA,
HALEY STEVENS FOR CONGRESS,D,
KATKO FOR CONGRESS,R,
WALORSKI FOR CONGRESS INC,R,
WALTERS FOR CONGRESS,D,
GEORGE FRANKLIN FOR CONGRESS,D,
PAUL DAVIS FOR KANSAS,D,
RUFUS GIFFORD FOR CONGRESS,D,
BURCHETT FOR CONGRESS,R,
COTTON FOR SENATE,R,
DNC SERVICES CORP./DEM. NAT'L COMMITTEE,D,
JEFF MERKLEY FOR OREGON,D,
JUDICIAL CRISIS NETWORK,R,
RON ESTES FOR CONGRESS,R,
SERVE AMERICA PAC,D,
AMERICAN SOLUTIONS ACTION PROJECT INC,R,
BRIGHT FOR CONGRESS,R,
CIVIC,NA,
DEMOCRATIC GOVERNORS ASSOCIATION,D,
KAMALA HARRIS FOR SENATE,D,
SAM GRAVES VICTORY FUND,R,
SCALISE FOR CONGRESS,R,
"SMART MEDIA, LLC",NA,
TEDESCHI FOR CONGRESS,R,
WENDYROGERS.ORG,R,
"45COMMITTEE, INC.",R,
BLACKBURN TENNESSEE VICTORY FUND,R,
CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE,D,
DANIEL WEBSTER FOR CONGRESS,R,
DONOVAN FOR CONGRESS,R,
DOUG MAYS FOR CONGRESS,R,
Electric Symphony LLC,NA,
FINANCE COMMITTEE FOR THOMAS OH,R,
Inside Out Consulting LLC,NA,
MARCO RUBIO FOR SENATE,R,
Mari Manoogian Friends Of,D,
MCCONNELL SENATE COMMITTEE,R,
PATRIOTIC AMERICANS PAC,R,
REPUBLICAN PARTY OF IOWA,R,
TARKANIAN FOR CONGRESS,R,
TOM MALINOWSKI FOR CONGRESS,D,